"old_name","current_name"
"Pseudomonas alcaligenes [ref_mOTU_v31_00226]","Aquipseudomonas alcaligenes"
"Pseudomonas alcaligenes [ref_mOTU_v31_00227]","Aquipseudomonas alcaligenes"
"Pseudomonas sp. ML96 [ref_mOTU_v31_00228]","Pseudomonas sp. ML96"
"Pseudomonas sp. BMS12 [ref_mOTU_v31_00229]","Pseudomonas sp. BMS12"
"Pseudomonas sp. CC6-YY-74 [ref_mOTU_v31_00230]","Pseudomonas sp. CC6-YY-74"
"Pseudomonas borbori [ref_mOTU_v31_00231]","Pseudomonas borbori"
"Pseudomonas benzenivorans [ref_mOTU_v31_00232]","Pseudomonas benzenivorans"
"Pseudomonas oleovorans/pseudoalcaligenes [ref_mOTU_v31_00233]","Pseudomonas oleovorans/pseudoalcaligenes"
"Pseudomonas pseudoalcaligenes/composti [ref_mOTU_v31_00234]","Pseudomonas pseudoalcaligenes/composti"
"Pseudomonas sp. [ref_mOTU_v31_00235]","Pseudomonas sp."
"Pseudomonas composti [ref_mOTU_v31_00236]","Pseudomonas composti"
"Pseudomonas mendocina [ref_mOTU_v31_00237]","Ectopseudomonas mendocina"
"Pseudomonas guguanensis/mendocina [ref_mOTU_v31_00238]","Pseudomonas guguanensis/mendocina"
"Pseudomonas oleovorans [ref_mOTU_v31_00239]","Ectopseudomonas oleovorans"
"Pseudomonas punonensis/seleniipraecipitans [ref_mOTU_v31_00240]","Pseudomonas punonensis/seleniipraecipitans"
"Pseudomonas flavescens [ref_mOTU_v31_00241]","Phytopseudomonas flavescens"
"Pseudomonas fulva [ref_mOTU_v31_00242]","Pseudomonas fulva"
"Pseudomonas sp. [ref_mOTU_v31_00243]","Pseudomonas sp."
"Pseudomonas punonensis [ref_mOTU_v31_00244]","Pseudomonas punonensis"
"Pseudomonas argentinensis [ref_mOTU_v31_00245]","Pseudomonas argentinensis"
"Pseudomonas thermotolerans [ref_mOTU_v31_00246]","Zestomonas thermotolerans"
"Pseudomonas flexibilis [ref_mOTU_v31_00247]","Pseudomonas flexibilis"
"Halotalea alkalilenta [ref_mOTU_v31_00248]","Halotalea alkalilenta"
"Cobetia marina [ref_mOTU_v31_00249]","Cobetia marina"
"Cobetia amphilecti [ref_mOTU_v31_00250]","Cobetia amphilecti"
"Cobetia crustatorum [ref_mOTU_v31_00251]","Cobetia crustatorum"
"Sphingobacterium sp. ML3W [ref_mOTU_v31_00252]","Sphingobacterium sp. ML3W"
"Sphingobacterium sp. PM2-P1-29 [ref_mOTU_v31_00253]","Sphingobacterium sp. PM2-P1-29"
"Weissella confusa [ref_mOTU_v31_00254]","Weissella confusa"
"Weissella cibaria [ref_mOTU_v31_00255]","Weissella cibaria"
"Synechocystis sp. PCC 6803 [ref_mOTU_v31_00256]","Synechocystis sp. PCC 6803"
"Synechocystis sp. PCC 6714 [ref_mOTU_v31_00257]","Synechocystis sp. PCC 6714"
"Acinetobacter tandoii [ref_mOTU_v31_00258]","Acinetobacter tandoii"
"Acinetobacter baumannii [ref_mOTU_v31_00259]","Acinetobacter baumannii"
"Acinetobacter nosocomialis [ref_mOTU_v31_00260]","Acinetobacter nosocomialis"
"Acinetobacter pittii [ref_mOTU_v31_00261]","Acinetobacter pittii"
"Acinetobacter oleivorans/calcoaceticus [ref_mOTU_v31_00262]","Acinetobacter oleivorans/calcoaceticus"
"Acinetobacter parvus [ref_mOTU_v31_00263]","Acinetobacter parvus"
"Acinetobacter haemolyticus [ref_mOTU_v31_00264]","Acinetobacter haemolyticus"
"Acinetobacter junii [ref_mOTU_v31_00265]","Acinetobacter junii"
"Acinetobacter haemolyticus/venetianus [ref_mOTU_v31_00266]","Acinetobacter haemolyticus/venetianus"
"Acinetobacter parvus [ref_mOTU_v31_00267]","Acinetobacter parvus"
"Acinetobacter baumannii [ref_mOTU_v31_00268]","Acinetobacter baumannii"
"Acinetobacter sp. [ref_mOTU_v31_00269]","Acinetobacter sp."
"Acinetobacter colistiniresistens [ref_mOTU_v31_00270]","Acinetobacter colistiniresistens"
"Acinetobacter sp. [ref_mOTU_v31_00271]","Acinetobacter sp."
"Acinetobacter gyllenbergii/proteolyticus [ref_mOTU_v31_00272]","Acinetobacter gyllenbergii/proteolyticus"
"Acinetobacter sp. A47 [ref_mOTU_v31_00273]","Acinetobacter sp. A47"
"Acinetobacter tjernbergiae [ref_mOTU_v31_00274]","Acinetobacter tjernbergiae"
"Acinetobacter beijerinckii [ref_mOTU_v31_00275]","Acinetobacter beijerinckii"
"Peptoniphilus lacrimalis [ref_mOTU_v31_00276]","Peptoniphilus lacrimalis"
"Bacillaceae sp. [ref_mOTU_v31_00277]","Bacillaceae sp."
"Bacillus subtilis [ref_mOTU_v31_00278]","Bacillus subtilis"
"Bacillus sp. MSP13 [ref_mOTU_v31_00279]","Bacillus sp. MSP13"
"Bacillus nakamurai [ref_mOTU_v31_00280]","Bacillus nakamurai"
"Bacillus sp. [ref_mOTU_v31_00281]","Bacillus sp."
"Streptococcus pneumoniae [ref_mOTU_v31_00282]","Streptococcus pneumoniae"
"Streptococcus sp. [ref_mOTU_v31_00283]","Streptococcus sp."
"Streptococcus pseudopneumoniae [ref_mOTU_v31_00284]","Streptococcus pseudopneumoniae"
"Streptococcus mitis [ref_mOTU_v31_00285]","Streptococcus mitis"
"Streptococcus sp. SK643 [ref_mOTU_v31_00286]","Streptococcus sp. SK643"
"Streptococcus oralis [ref_mOTU_v31_00287]","Streptococcus oralis"
"Streptococcus oralis [ref_mOTU_v31_00288]","Streptococcus oralis"
"Streptococcus oralis [ref_mOTU_v31_00289]","Streptococcus oralis"
"Streptococcus oralis [ref_mOTU_v31_00290]","Streptococcus oralis"
"Streptococcus oralis [ref_mOTU_v31_00291]","Streptococcus oralis"
"Streptococcus oralis [ref_mOTU_v31_00292]","Streptococcus oralis"
"Streptococcus sp. oral taxon 058 [ref_mOTU_v31_00293]","Streptococcus sp. oral taxon 058"
"Streptococcus oralis/mitis [ref_mOTU_v31_00294]","Streptococcus oralis/mitis"
"Streptococcus pseudopneumoniae [ref_mOTU_v31_00295]","Streptococcus pseudopneumoniae"
