species,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_50_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_50_noerr
Borrelia hermsii,NA,NA,NA,NA,1,1,NA,1
Borrelia miyamotoi,NA,NA,1,NA,NA,NA,NA,1
Borrelia recurrentis,NA,2,NA,2,1,1,NA,1
Borrelia turicatae,1,NA,NA,1,2,NA,NA,NA
Borreliella afzelii,NA,NA,NA,NA,NA,1,NA,NA
Borreliella bavariensis,NA,NA,NA,NA,NA,NA,1,1
Borreliella bissettii,NA,NA,NA,NA,NA,NA,2,NA
Borreliella burgdorferi,1,NA,NA,2,2,NA,2,1
Borreliella garinii,NA,NA,NA,NA,1,NA,1,1
Bosea sp. PAMC 26642,7,8,4,5,6,1,3,3
Bosea sp. RAC05,5,9,3,3,3,1,3,3
Bosea vaviloviae,2,6,3,4,7,NA,NA,3
Bovine papular stomatitis virus,1,1,NA,1,NA,1,NA,NA
Brachybacterium,1,NA,NA,NA,1,NA,NA,NA
Brachybacterium faecium,1,3,2,5,1,4,2,3
Brachyspira hyodysenteriae,3,2,NA,2,3,2,4,NA
Brachyspira intermedia,2,5,2,3,3,4,3,2
Brachyspira murdochii,1,2,NA,3,2,2,10,2
Brachyspira pilosicoli,7,5,4,4,8,11,10,5
Nitrobacteraceae,NA,2,NA,NA,NA,NA,NA,NA
Bradyrhizobium,NA,NA,NA,1,NA,NA,NA,NA
Bradyrhizobium diazoefficiens,10,8,5,8,2,6,2,3
Bradyrhizobium icense,3,1,4,4,3,NA,3,1
Bradyrhizobium japonicum,9,9,9,10,3,NA,1,4
Bradyrhizobium oligotrophicum,1,5,3,5,1,1,1,2
Bradyrhizobium sp.,3,5,7,5,4,1,4,2
Bradyrhizobium sp. BTAi1,1,4,8,3,2,2,1,2
Bradyrhizobium sp. CCGE-LA001,3,7,9,7,NA,NA,5,1
Bradyrhizobium sp. ORS 278,1,3,4,4,3,2,3,1
Bradyrhizobium sp. S23321,3,5,5,8,3,NA,5,2
Brevibacillus brevis,1,3,1,2,3,6,8,4
Brevibacillus laterosporus,1,1,2,1,3,5,3,7
Brevibacterium linens,3,4,4,3,2,2,1,4
Brevundimonas naejangsanensis,4,2,6,4,2,4,1,5
Brevundimonas sp. DS20,1,2,2,6,1,1,NA,4
Brevundimonas sp. GW460-12-10-14-LB2,2,2,2,6,2,2,NA,2
Brevundimonas subvibrioides,4,1,6,6,1,NA,NA,1
Brucella abortus,1,6,5,1,1,1,1,2
Brucella canis,7,4,4,2,1,NA,2,1
Brucella ceti,7,4,4,2,1,2,2,1
