species,Healthy_stool_10_1_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_50_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_100_noerr,Healthy_stool_100_50_noerr
Bacteroides fragilis,5041,6985,8504,7143,10042,20990,24356,15626
Bacteroides helcogenes,5466,7497,7442,9374,3696,4148,3177,4936
Bacteroides ovatus,2787,3044,2863,3562,15784,37076,32333,24662
Bacteroides phage B124-14,NA,NA,NA,NA,NA,1,1,NA
Phocaeicola salanitronis,1992,1977,2185,1860,2300,2674,2769,2471
Bacteroides caecimuris,3887,4580,5702,4728,6086,11093,13507,8950
Bacteroides thetaiotaomicron,5706,7517,9031,7792,14220,30767,34426,23347
Phocaeicola vulgatus,119689,178776,171419,224142,53597,50336,21107,85190
Ball python nidovirus,3,1,NA,NA,1,1,NA,NA
Barnesiella viscericola,2016,1910,2633,1515,2596,3374,3324,2762
Bartonella ancashensis,6,10,3,3,12,8,9,3
Bartonella australis,NA,NA,2,NA,6,3,5,1
Bartonella bacilliformis,1,2,4,3,3,9,8,4
Bartonella clarridgeiae,1,1,NA,2,3,8,3,9
Bartonella grahamii,3,NA,4,2,5,5,13,6
Bartonella henselae,NA,NA,NA,2,6,9,6,9
Bartonella quintana,NA,NA,NA,1,5,6,5,3
Bartonella tribocorum,3,NA,4,2,1,5,12,7
Bartonella vinsonii,1,1,3,1,3,6,6,6
Basilea psittacipulmonis,13,6,10,9,10,19,10,11
Bat mastadenovirus WIV10,NA,NA,NA,NA,NA,1,1,NA
Bat mastadenovirus WIV11,NA,NA,NA,NA,NA,1,1,NA
Bat mastadenovirus WIV9,NA,NA,NA,NA,NA,1,1,NA
Bathymodiolus septemdierum thioautotrophic gill symbiont,8,1,4,12,8,3,6,6
Bdellovibrio bacteriovorus,45,44,34,38,63,39,45,43
Pseudobdellovibrio exovorus,22,14,10,20,36,23,12,11
Beet chlorosis virus,NA,NA,NA,NA,1,NA,NA,NA
Beggiatoa leptomitiformis,27,17,9,14,23,11,16,9
Beijerinckia indica,25,16,10,16,14,13,14,13
Beijerinckiaceae,NA,NA,NA,NA,NA,NA,NA,1
Belliella baltica,52,27,22,40,58,42,42,32
beta proteobacterium CB,11,9,2,13,18,9,5,7
Beutenbergia,7,1,NA,1,3,1,NA,NA
Beutenbergia cavernae,21,27,28,15,17,7,14,16
Bibersteinia,1,NA,NA,NA,NA,1,5,NA
Bibersteinia trehalosi,4,3,7,6,15,24,25,22
Bifidobacteriaceae,NA,NA,NA,NA,1,NA,NA,NA
Bifidobacterium,15,12,6,13,10,3,7,7
Bifidobacterium actinocoloniiforme,27,39,42,21,15,17,13,22
Bifidobacterium adolescentis,28161,42324,60135,25446,12172,11165,6116,19533
