species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Bacillus phage vB_BceM-Bc431v3,1,2,1,4,NA,2,NA,1
Bacillus phage W.Ph.,NA,NA,NA,NA,NA,NA,2,NA
Bacillus phage Waukesha92,1,1,2,2,NA,1,NA,1
Bacillus phage Zuko,NA,NA,NA,NA,NA,1,NA,NA
Alkalihalophilus pseudofirmus,14,14,14,12,32,41,43,31
Bacillus pumilus,76,60,57,63,98,130,117,99
Peribacillus simplex,45,24,20,38,46,44,28,37
Bacillus smithii,8,8,9,7,29,34,36,23
Bacillus sp.,29,36,27,24,42,57,45,45
Bacillus sp. 1NLA3E,20,19,22,32,34,33,42,29
Bacillus sp. ABP14,13,10,7,29,19,55,39,42
Bacillus sp. BH072,13,19,16,17,21,35,27,29
Bacillus sp. FJAT-14266,25,35,18,21,34,38,35,32
Priestia megaterium,4,8,13,6,24,31,38,29
Bacillus sp. JS,45,27,20,17,40,43,33,43
Bacillus sp. LM 4-2,23,33,24,19,28,51,37,41
Bacillus sp. OxB-1,18,18,7,17,25,44,17,22
Bacillus sp. Pc3,14,20,11,25,21,41,32,30
Bacillus sp. SDLI1,29,26,18,30,29,34,40,35
Bacillus sp. WP8,21,16,11,22,23,41,26,34
Bacillus sp. X1(2014),19,12,10,21,30,50,57,30
Bacillus sp. YP1,24,34,30,25,31,48,46,45
Bacillus subtilis,104,177,146,168,169,260,196,225
Bacillus thuringiensis,110,84,82,131,218,321,298,245
Bacillus toyonensis,14,6,8,16,33,38,36,40
Bacillus velezensis,48,48,35,48,71,85,73,82
Cecivirus cv250,NA,NA,NA,NA,1,NA,NA,NA
Andromedavirus blastoid,NA,NA,NA,1,NA,NA,NA,NA
Andromedavirus finn,1,NA,NA,2,NA,1,NA,NA
Donellivirus gee,5,8,6,4,12,1,2,2
Cecivirus IEBH,NA,NA,NA,NA,1,NA,NA,NA
Andromedavirus riggi,NA,NA,NA,NA,NA,1,NA,NA
Wbetavirus wbeta,NA,NA,NA,NA,NA,NA,1,1
Bacillus mycoides,10,12,9,19,25,45,54,48
Bacillus xiamenensis,10,10,16,13,27,47,26,31
Bacteriophage APSE-2,NA,NA,NA,NA,NA,1,NA,NA
Bacteriophage Lily,NA,NA,NA,NA,NA,NA,NA,1
bacterium L21-Spi-D4,87,61,27,48,93,42,30,42
Bacteroidales bacterium CF,165,107,112,77,112,64,50,66
Bacteroides,4,NA,1,3,1,2,NA,2
Bacteroides cellulosilyticus,6588,7625,7807,8739,12489,24160,34973,20054
Phocaeicola dorei,47361,69247,130258,46853,22451,20968,16569,34004
Bacteroides fragilis,6264,8172,10081,7958,12170,24504,28047,18325
Bacteroides helcogenes,5983,7953,7707,9890,4244,4585,3543,5287
Bacteroides ovatus,3314,3409,3045,3910,17277,39696,36541,26742
Bacteroides phage B124-14,NA,NA,NA,NA,NA,1,NA,NA
Phocaeicola salanitronis,2461,2278,2389,2156,3179,3748,3802,3264
Bacteroides caecimuris,4753,5108,6115,5168,8402,15132,18124,11800
Bacteroides thetaiotaomicron,6457,8212,9831,8286,16338,34549,40092,26680
Phocaeicola vulgatus,120028,178760,170682,224312,54719,52359,23063,86719
Ball python nidovirus,3,1,NA,NA,2,1,NA,NA
Barnesiella viscericola,2622,2278,3001,1841,3852,5264,4984,4094
Bartonella ancashensis,11,9,5,9,17,5,16,5
Bartonella australis,2,1,1,NA,4,3,4,4
Bartonella bacilliformis,3,8,9,10,5,8,15,9
Bartonella clarridgeiae,3,3,1,5,6,8,3,8
Bartonella grahamii,3,1,4,3,4,7,12,6
Bartonella henselae,NA,2,NA,2,8,10,8,10
Bartonella quintana,NA,NA,1,2,7,6,7,5
