name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Lactobacillus delbrueckii	1584	species	1920382	328	263	0.0
Lactobacillus helveticus	1587	species	3148198	348	189	0.0
Lactobacillus plantarum	1590	species	8684028	292	136	0.0
Lactobacillus gasseri	1596	species	1894360	61	48	0.0
Lactobacillus paracasei	1597	species	4200086	262	94	0.0
Lactobacillus reuteri	1598	species	2811237	2102	96	0.0
Lactobacillus sakei	1599	species	1884661	162	86	0.0
Lactobacillus acetotolerans	1600	species	1704859	15	9	0.0
Lactobacillus amylovorus	1604	species	1977087	2162	4	0.0
Lactobacillus fermentum	1613	species	2108824	466	119	0.0
Lactobacillus ruminis	1623	species	2066652	307	252	0.0
Lactobacillus salivarius	1624	species	2663133	630	216	0.0
Lactobacillus sanfranciscensis	1625	species	1375770	82	22	0.0
Listeria ivanovii	1638	species	3701623	122	78	0.0
Listeria monocytogenes	1639	species	5926303	256	134	0.0
Listeria seeligeri	1640	species	2797636	78	10	0.0
Listeria innocua	1642	species	3093113	105	25	0.0
Listeria welshimeri	1643	species	2814130	95	16	0.0
Renibacterium salmoninarum	1646	species	3155250	156	99	0.0
Erysipelothrix rhusiopathiae	1648	species	2398466	149	108	0.0
Corynebacteriaceae	1653	family	0	5	0	0.0
Actinomyces	1654	genus	0	25	0	0.0
Trueperella pyogenes	1661	species	3453353	1052	541	0.0
Arthrobacter	1663	genus	0	17	0	0.0
Bifidobacterium	1678	genus	0	279	0	0.0
Bifidobacterium adolescentis	1680	species	3233293	254896	247636	0.086729
Bifidobacterium bifidum	1681	species	2209322	1203	708	2.68461e-38
Bifidobacterium angulatum	1683	species	2043306	2800	1533	3.34525e-05
Bifidobacterium asteroides	1684	species	2167304	676	411	1.32058e-47
Bifidobacterium breve	1685	species	2328021	3272	1507	2.19553e-20
