species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Peptoniphilus rhinitidis,0,0,0,0,0,4,45,11
Peptoniphilus senegalensis,0,0,0,0,0,1,0,0
Peptostreptococcus anaerobius,0,0,0,0,3,0,13,8
Petrimonas mucosa,0,0,0,0,0,0,1,0
Phascolarctobacterium succinatutens,0,0,0,0,1832,4598,5418,2861
Phocaeicola barnesiae,112,65,142,53,21,26,42,47
Phocaeicola coprocola,0,0,0,0,1205,3233,9963,4579
Phocaeicola coprophilus,2,8,30,3,14,36,86,38
Phocaeicola paurosaccharolyticus,0,0,0,0,1,12,18,7
Phocaeicola plebeius,12,43,14,18,9203,24061,14942,15574
Phocaeicola salanitronis,1,0,2,0,2,4,21,13
Phocaeicola vulgatus,139541,209883,235674,241787,61251,58221,26427,99244
Phoenicibacter congonensis,0,0,0,0,1,4,5,4
Plesiomonas shigelloides,0,0,0,0,0,0,2,0
Pluralibacter gergoviae,0,0,0,0,4,19,35,9
Porphyromonas cangingivalis,0,0,0,0,0,0,4,1
Porphyromonas circumdentaria,0,0,0,0,5,4,3,1
Porphyromonas endodontalis,0,0,0,0,6,6,10,5
Porphyromonas gingivalis,0,0,0,0,2,10,0,4
Porphyromonas levii,0,0,0,0,2,21,14,12
Porphyromonas somerae,0,0,0,1,0,2,1,2
Prevotella amnii,0,0,0,0,0,2,18,2
Prevotella aurantiaca,0,0,0,0,0,2,0,1
Prevotella bivia,0,0,0,1,1280,3234,7047,5259
Prevotella corporis,0,0,0,0,618,932,6382,1310
Prevotella dentalis,0,0,0,0,1,1,5,1
Prevotella dentasini,0,0,0,0,0,3,0,1
Prevotella denticola,0,0,0,0,1,0,0,1
Prevotella disiens,0,0,0,0,314,1510,10430,1647
Prevotella falsenii,0,0,0,0,0,4,8,4
Prevotella fusca,0,0,0,0,0,0,5,4
Prevotella ihumii,0,0,0,0,4,2,43,12
Prevotella intermedia,1,3,1,0,0,0,2,1
Prevotella micans,0,0,0,0,0,1,1,0
Prevotella multiformis,0,0,0,0,25,22,185,55
Prevotella nigrescens,0,0,0,0,6,10,16,0
Prevotella pallens,0,0,0,0,1,7,9,0
Prevotella scopos,0,0,0,0,0,0,3,0
Prevotella veroralis,0,0,0,0,0,0,6,1
Prevotellamassilia timonensis,6,6,4,4,30,76,179,100
Provencibacterium massiliense,1,2,1,1,3,14,0,8
Pseudoflavonifractor capillosus,41,21,5,77,20,50,117,83
Pseudovibrio stylochi,0,0,0,0,0,0,2,1
Punavirus RCS47,0,0,0,0,6,9,42,18
Punavirus SJ46,0,0,0,0,13,37,69,42
Ralstonia mannitolilytica,0,0,0,0,2,5,4,1
Rikenella microfusus,0,0,0,0,0,1,5,6
Roseburia faecis,23,161,147,199,12982,34435,8714,19186
Roseburia hominis,373,310,192,597,2026,5428,11772,7926
Roseburia intestinalis,11,23,17,17,4359,12718,16297,8526
Roseburia inulinivorans,157,514,389,380,5522,13784,10715,7493
Ruminococcus bicirculans (ex Wegman et al. 2014),0,0,0,0,4,23,29,14
Ruminococcus callidus,6,17,11,17,7,10,8,19
[Ruminococcus] lactaris,0,0,0,0,1882,5135,8342,3008
Ruminococcus sp. YE282,21,36,51,41,13,9,4,19
[Ruminococcus] torques,0,0,0,1,4963,12868,6719,7981
Ruthenibacterium lactatiformans,57,91,87,131,1847,4617,11455,6609
Salmonella enterica,0,0,0,0,41,120,186,96
Salmonella phage SSU5,0,0,0,0,0,0,1,0
Sanguibacteroides justesenii,0,0,0,0,26,41,132,68
Schaalia turicensis,0,0,0,0,0,1,0,0
Segatella albensis,0,0,0,0,0,0,3,3
Segatella baroniae,3,0,2,0,0,0,0,0
Segatella copri,503065,252324,102725,236818,496836,47999,10073,84658
Segatella maculosa,0,0,0,0,0,1,1,0
Segatella salivae,0,0,0,0,0,0,2,0
Sellimonas intestinalis,0,0,0,0,0,1,1,0
Senegalimassilia anaerobia,0,0,0,0,3,5,20,4
Serratia marcescens,0,0,0,0,2,0,6,0
Serratia rubidaea,0,0,0,0,0,5,6,0
Sharpea azabuensis,0,0,0,0,2,4,20,12
Shigella dysenteriae,0,0,0,0,10675,27954,1103,17143
Shigella flexneri,0,0,0,0,928,2389,12428,1512
Shigella phage SfIV,0,0,0,0,0,2,0,0
Siccibacter turicensis,0,0,0,0,2,1,1,0
Slackia heliotrinireducens,0,0,0,0,0,0,2,1
Slackia piriformis,0,0,0,0,0,3,3,1
Sodalis praecaptivus,0,0,0,0,0,1,1,0
Solobacterium moorei,0,1,5,1,0,1,1,0
Sporosarcina koreensis,0,0,0,0,7,5,13,13
Staphylococcus haemolyticus,0,0,0,0,0,1,0,0
Staphylococcus pseudintermedius,0,0,0,0,0,0,1,0
Stomatobaculum longum,143,102,58,124,39,17,13,38
Streptobacillus notomytis,0,0,0,0,2,1,6,2
Streptococcus anginosus,0,0,0,0,0,1,0,0
Streptococcus cristatus,0,0,0,0,0,0,4,1
Streptococcus equinus,0,0,0,0,0,0,0,3
Streptococcus gallolyticus,0,0,0,0,2,2,4,3
Streptococcus gordonii,0,0,0,0,0,3,0,0
Streptococcus minor,0,0,0,0,0,0,0,1
Streptococcus mitis,0,0,0,0,7,10,15,4
Streptococcus orisratti,0,0,0,0,0,0,0,1
Streptococcus parasanguinis,0,0,0,0,418,1082,6161,1580
Streptococcus phage YMC-2011,0,0,0,0,0,0,4,2
Streptococcus pneumoniae,0,0,0,0,0,1,0,0
Streptococcus pseudoporcinus,0,0,0,0,0,4,1,0
Streptococcus salivarius,0,0,0,0,796,2419,3755,3006
Streptococcus sanguinis,0,0,0,0,1,0,2,0
Streptococcus suis,0,0,0,0,2,0,5,2
Streptococcus thermophilus,0,0,0,0,1000,2267,5007,3810
Streptococcus urinalis,0,0,0,0,0,0,8,0
Subdoligranulum variabile,14,404,48,73,9,28,25,24
Succinispira mobilis,0,0,0,0,0,2,2,0
Syntrophomonas zehnderi,0,0,0,0,0,1,0,1
Thauera humireducens,0,0,0,0,3,13,25,6
Thioalkalivibrio sulfidiphilus,0,0,0,0,0,0,1,0
Thomasclavelia saccharogumia,0,0,0,0,3,8,10,8
Thomasclavelia spiroformis,0,0,0,0,1,0,3,1
Trabulsiella odontotermitis,0,0,0,0,3,5,12,17
Traorella massiliensis,6,7,7,20,14,27,31,12
Traversvirus II,0,0,0,0,109,314,178,165
Traversvirus PA28,0,0,0,0,5,23,9,11
Traversvirus tv24B,0,0,0,0,0,0,1,0
Traversvirus tv933W,0,0,0,0,1,1,0,4
Treponema putidum,0,0,0,1,0,0,0,0
Treponema succinifaciens,1,0,0,0,0,0,0,0
Treponema vincentii,2,11,8,5,0,0,1,2
Urinicoccus massiliensis,0,0,0,0,1,2,16,19
Veillonella parvula,0,0,0,0,301,784,6031,1129
Veillonella seminalis,0,1,0,0,0,0,0,0
Wanchaivirus HK106,0,0,0,0,0,0,0,1
Wickerhamomyces ciferrii,0,0,0,0,0,4,0,0
Winslowiella toletana,0,0,0,0,0,1,0,0
Xenophilus azovorans,0,0,0,0,0,0,1,0
Xenorhabdus cabanillasii,0,0,0,0,31,63,198,108
Xenorhabdus nematophila,0,0,0,0,0,0,0,1
Xuanwuvirus P88,0,0,0,0,12,31,11,30
Xylanibacter brevis,0,0,0,0,0,0,1,0
Xylanibacter ruminicola,0,0,0,0,0,0,0,1
Yautsimvirus HK140,0,0,0,0,2,2,0,0
Yersinia pestis,0,0,0,0,22,83,205,108
Yokenella regensburgei,0,0,0,0,6,6,63,10
