Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_100_100_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_50_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_1_noerr,Healthy_stool_10_50_noerr
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium SV_7m_r,Planctomycetes bacterium SV_7m_r,4152,1,1,1,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium TBK1r,Planctomycetes bacterium TBK1r,4153,1,3,0,0,1,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium V144,Planctomycetes bacterium V144,4154,1,1,0,1,1,1,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium V22,Planctomycetes bacterium V22,4155,2,5,20,3,3,10,17,12
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium V6,Planctomycetes bacterium V6,4156,1,0,0,2,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,825,59,64,63,76,64,50,49,39
Bacteria,Proteobacteria,Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,828,43,21,30,27,20,21,24,18
Bacteria,Proteobacteria,Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,831,4,2,0,1,1,0,0,0
Bacteria,Proteobacteria,Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,832,0,1,2,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,833,517,326,298,334,134,154,210,133
Bacteria,Tenericutes,Mollicutes,c_Mollicutes,c_Mollicutes,c_Mollicutes,c_Mollicutes,c_Mollicutes,836,164,147,106,117,47,63,83,62
Bacteria,Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,Tenericutes bacterium MO-XQ,Tenericutes bacterium MO-XQ,5385,2,4,0,2,0,0,0,0
Bacteria,Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,Tenericutes bacterium MZ-XQ,Tenericutes bacterium MZ-XQ,5386,2,4,2,2,0,0,0,0
Bacteria,Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,Verrucomicrobia bacterium IMCC26134,Verrucomicrobia bacterium IMCC26134,5586,1,2,1,3,0,0,0,0
