Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Run_mock__10eb-90gr-2,Run_mock__50eb-50gr-1,Run_mock__5eb-95gr-2,Run_mock__95eb-5gr-1,Run_mock__ec-Bl-Rp-Rm-Cn-2,Run_mock__vaio-Mock-10-4-1,Run_mock__vaio-Mock-10-4-2,Run_mock__vaio-Mock-10-5-1,Run_mock__vaio-Mock-10-6-3,Run_newprimers__vaio-Mock-Newprimer-4
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,endosymbiont of Euscepes postfasciatus,endosymbiont of Euscepes postfasciatus,571,0,0,0,1,22,1,10,0,3,3
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,endosymbiont of unidentified scaly snail isolate Monju,endosymbiont of unidentified scaly snail isolate Monju,574,0,5,1,10,2,1,2,1,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,gamma proteobacterium HdN1,gamma proteobacterium HdN1,1094,2,2,2,1,3,0,1,1,2,6
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,gamma proteobacterium SS-5,gamma proteobacterium SS-5,1095,0,0,0,1,2,1,2,0,1,0
Bacteria,Proteobacteria,Oligoflexia,Silvanigrellales,o_Silvanigrellales,o_Silvanigrellales,o_Silvanigrellales,o_Silvanigrellales,1496,0,0,0,0,0,0,1,0,0,0
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,o_Verrucomicrobiales,o_Verrucomicrobiales,o_Verrucomicrobiales,o_Verrucomicrobiales,1502,0,0,0,0,0,0,0,0,0,9
Viruses,d_Viruses,d_Viruses,d_Viruses,Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Autographa californica multiple nucleopolyhedrovirus,148,0,1,0,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,f_Acidobacteriaceae,f_Acidobacteriaceae,f_Acidobacteriaceae,629,0,0,0,0,0,0,0,0,1,1
Bacteria,Acidobacteria,Blastocatellia,c_Blastocatellia,c_Blastocatellia,Chloracidobacterium,Chloracidobacterium thermophilum,Chloracidobacterium thermophilum,398,0,1,0,2,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,c_Actinobacteria,c_Actinobacteria,Thermobispora,Thermobispora bispora,Thermobispora bispora,2010,0,0,0,2,0,0,1,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,f_Actinomycetaceae,f_Actinomycetaceae,f_Actinomycetaceae,630,0,3,1,3,2,0,1,1,2,0
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,f_Bifidobacteriaceae,f_Bifidobacteriaceae,f_Bifidobacteriaceae,641,2,3,0,10,29,7,11,10,5,4
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,f_Mycobacteriaceae,f_Mycobacteriaceae,f_Mycobacteriaceae,693,0,0,1,0,0,1,3,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Beutenbergiaceae,f_Beutenbergiaceae,f_Beutenbergiaceae,f_Beutenbergiaceae,640,0,0,0,0,0,0,0,1,1,0
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,f_Microbacteriaceae,f_Microbacteriaceae,f_Microbacteriaceae,686,0,0,0,0,2,0,0,0,1,3
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,f_Micrococcaceae,f_Micrococcaceae,f_Micrococcaceae,687,0,1,0,0,21,2,0,0,1,0
Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,f_Micromonosporaceae,f_Micromonosporaceae,f_Micromonosporaceae,688,0,0,0,1,0,0,1,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,f_Propionibacteriaceae,f_Propionibacteriaceae,f_Propionibacteriaceae,717,0,1,0,2,0,1,0,1,1,1
Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,f_Eggerthellaceae,f_Eggerthellaceae,f_Eggerthellaceae,660,0,1,0,1,0,0,1,1,0,0
Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,f_Aquificaceae,f_Aquificaceae,f_Aquificaceae,637,0,0,0,0,0,0,1,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,f_Dysgonomonadaceae,f_Dysgonomonadaceae,f_Dysgonomonadaceae,659,3,3,2,1,0,1,4,2,1,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,f_Muribaculaceae,f_Muribaculaceae,f_Muribaculaceae,692,13,30,15,29,21,8,10,162,4,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,f_Odoribacteraceae,f_Odoribacteraceae,f_Odoribacteraceae,700,0,0,0,0,0,0,1,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,f_Prevotellaceae,f_Prevotellaceae,f_Prevotellaceae,715,14,29,24,14,0,1,14,1,6,10
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,f_Rikenellaceae,f_Rikenellaceae,f_Rikenellaceae,727,1,5,2,7,0,0,1,0,2,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,o_Bacteroidales,Phocaeicola,g_Phocaeicola,g_Phocaeicola,1008,0,8,4,6,4,2,2,0,3,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,o_Bacteroidales,o_Bacteroidales,Bacteroidales bacterium CF,Bacteroidales bacterium CF,177,29,46,11,85,1,7,13,11,11,9
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,f_Prolixibacteraceae,f_Prolixibacteraceae,f_Prolixibacteraceae,716,41,72,45,56,0,10,17,5,15,0
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,f_Chitinophagaceae,f_Chitinophagaceae,f_Chitinophagaceae,646,0,2,1,2,2,0,3,0,1,0
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,f_Cyclobacteriaceae,f_Cyclobacteriaceae,f_Cyclobacteriaceae,653,2,3,4,0,0,1,1,1,1,3
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,f_Cytophagaceae,f_Cytophagaceae,f_Cytophagaceae,654,0,1,0,0,0,1,1,0,2,2
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,f_Hymenobacteraceae,f_Hymenobacteraceae,f_Hymenobacteraceae,676,10,13,7,9,0,2,4,2,3,1
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,o_Cytophagales,o_Cytophagales,Cytophagales bacterium TFI 002,Cytophagales bacterium TFI 002,488,0,0,3,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,f_Flavobacteriaceae,f_Flavobacteriaceae,f_Flavobacteriaceae,666,191,268,188,167,10,66,98,61,73,127
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,f_Weeksellaceae,f_Weeksellaceae,f_Weeksellaceae,741,4,3,1,3,0,1,3,0,0,1
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,o_Flavobacteriales,o_Flavobacteriales,Candidatus Uzinura diaspidicola,Candidatus Uzinura diaspidicola,366,1,1,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,f_Sphingobacteriaceae,f_Sphingobacteriaceae,f_Sphingobacteriaceae,731,34,30,35,32,4,10,10,11,15,2
Bacteria,Bacteroidetes,p_Bacteroidetes,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,f_Rhodothermaceae,Rhodothermaceae bacterium RA,Rhodothermaceae bacterium RA,1770,0,0,0,0,0,0,0,1,0,0
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,f_Anaerolineaceae,f_Anaerolineaceae,f_Anaerolineaceae,636,0,1,0,0,1,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,c_Dehalococcoidia,c_Dehalococcoidia,Dehalogenimonas,Dehalogenimonas formicexedens,Dehalogenimonas formicexedens,496,0,0,0,0,0,0,0,0,0,2
