name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Streptococcus pyogenes	1314	species	4096430	1719	969	2.00479e-05
Streptococcus parasanguinis	1318	species	2162630	15720	15436	0.0106788
Streptococcus anginosus	1328	species	2557124	3810	1844	7.36563e-06
Streptococcus dysgalactiae	1334	species	2149105	340	143	7.69915e-30
Streptococcus equi	1336	species	2140495	389	271	0.0
Streptococcus intermedius	1338	species	1963517	408	172	3.12706e-36
Streptococcus iniae	1346	species	2086959	235	115	9.64452e-37
Streptococcus parauberis	1348	species	2143887	248	108	3.36649e-32
Streptococcus uberis	1349	species	1852352	221	129	0.0
Enterococcus faecalis	1351	species	3401628	2018	1418	5.36933e-05
Enterococcus faecium	1352	species	5898717	18935	17983	0.00306175
Enterococcus gallinarum	1353	species	3821349	358	154	2.68803e-06
Enterococcus hirae	1354	species	2908247	548	215	2.36117e-19
Lactococcus lactis	1358	species	2704731	1187	953	0
Lactococcus garvieae	1363	species	1957049	203	145	0.0
Lactococcus piscium	1364	species	2503066	230	168	1.1774e-40
Planococcus kocurii	1374	species	3485580	179	118	0.0
Aerococcus urinae	1376	species	2027618	238	192	0.0
Aerococcus viridans	1377	species	2199877	185	75	0
Atopobium parvulum	1382	species	1543805	661	453	0.0
Bacillales	1385	order	0	1	0	0.0
Bacillus	1386	genus	0	18	0	0.0
Bacillus amyloliquefaciens	1390	species	5608910	963	129	0.0
Bacillus anthracis	1392	species	17446789	373	9	0.0
Brevibacillus brevis	1393	species	6296436	434	249	0.0
Bacillus cereus	1396	species	9676532	2050	553	0.0
Bacillus coagulans	1398	species	4327944	798	631	0.0
Bacillus licheniformis	1402	species	8559910	299	130	0.0
Bacillus megaterium	1404	species	5334474	783	394	0.0
Bacillus mycoides	1405	species	11312355	860	275	0.0
Paenibacillus polymyxa	1406	species	6883167	1365	688	0.0
Bacillus pumilus	1408	species	20721195	1143	722	0.0
Bacillus sp.	1409	species	4233615	403	0	0.0
Bacillus cellulosilyticus	1413	species	4681672	300	215	0.0
Lysinibacillus sphaericus	1421	species	14371778	301	154	0.0
Geobacillus stearothermophilus	1422	species	3676494	222	14	0.0
Bacillus subtilis	1423	species	7550081	2061	580	0.0
Parageobacillus thermoglucosidans	1426	species	5935916	274	105	0.0
Bacillus thuringiensis	1428	species	10269592	2502	756	0.0
Amphibacillus xylanus	1449	species	2569486	507	320	0.0
Bacillus atrophaeus	1452	species	4171548	378	144	0.0
Geobacillus kaustophilus	1462	species	3592666	217	6	0.0
Paenibacillus larvae	1464	species	4056006	328	231	0.0
Brevibacillus laterosporus	1465	species	5153859	390	216	0.0
Bacillus methanolicus	1471	species	3425208	403	242	0.0
Sporosarcina psychrophila	1476	species	4674191	255	190	0.0
Bacillus simplex	1478	species	5521719	391	252	0.0
Bacillus smithii	1479	species	3381292	267	172	0.0
Clostridium	1485	genus	0	6	0	0.0
Clostridium acetobutylicum	1488	species	4136895	696	456	0.0
Clostridium botulinum	1491	species	4637504	3084	1744	0.0
Clostridium butyricum	1492	species	13843423	1210	813	0.0
Clostridium cellulovorans	1493	species	5262222	1711	713	4.10275e-14
Clostridioides difficile	1496	species	6297836	11206	10164	6.50083e-05
Clostridium formicaceticum	1497	species	4586755	642	404	0.0
Clostridium pasteurianum	1501	species	7159922	2294	1464	0.0
Clostridium perfringens	1502	species	6907798	1066	741	0.0
Clostridium sporogenes	1509	species	8284974	580	229	0.0
[Clostridium] stercorarium	1510	species	4042789	724	448	0.0
Acetoanaerobium sticklandii	1511	species	2715461	557	429	1.12331e-06
Clostridium tetani	1513	species	2869591	1074	535	0.0
Ruminiclostridium thermocellum	1515	species	3634338	819	472	0.0
Thermoanaerobacterium thermosaccharolyticum	1517	species	2840014	570	409	0.0
Clostridium tyrobutyricum	1519	species	3134437	679	479	0.0
Clostridium beijerinckii	1520	species	6161692	1312	684	0.0
[Clostridium] cellulolyticum	1521	species	4068724	1116	515	0.0
Moorella thermoacetica	1525	species	5377887	297	125	0.0
Clostridium kluyveri	1534	species	3989551	1051	584	7.64572e-07
Clostridium ljungdahlii	1538	species	4630065	693	69	0.0
Clostridium novyi	1542	species	2547720	782	335	0.0
Clostridium scatologenes	1548	species	5749410	926	457	0.0
Gottschalkia acidurici	1556	species	3108248	488	367	0.0
Clostridium baratii	1561	species	3338630	763	568	0.0
Desulfotomaculum	1562	genus	0	3	0	0.0
Desulfosporosinus orientis	1563	species	5863081	478	309	0.0
Desulfotomaculum ruminis	1564	species	3969014	562	317	0.0
