species,Healthy_stool_100_100_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_50_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_1_noerr,Healthy_stool_10_50_noerr
Parathermosynechococcus lividus,0,0,0,0,1,0,0,0
Synechococcus sp. CC9311,0,0,1,0,0,0,3,3
Synechococcus sp. LTW-R,0,0,0,0,1,1,0,1
Synechococcus sp. NIES-970,1,0,0,0,0,0,0,0
Synechococcus sp. PCC 7502,0,0,0,1,0,0,0,0
Synechococcus sp. WH 7803,0,0,0,1,0,0,0,0
Synechococcus sp. WH 8020,0,0,0,0,0,0,1,0
Synechococcus sp. WH 8109,0,0,1,0,0,0,0,0
Thermosynechococcus sp. CL-1,0,0,0,1,0,0,0,0
Thermosynechococcus sp. NK55a,0,0,2,1,0,0,1,1
Thermostichus vulcanus,0,1,0,0,0,0,0,0
g_Deinococcus,0,1,0,0,0,0,0,0
g_Anoxybacillus,1,0,0,2,1,0,0,2
g_Bacillus,11,18,8,11,2,3,1,7
g_Geobacillus,1,3,0,0,0,0,0,0
g_Lysinibacillus,0,0,2,0,0,2,1,2
g_Mesobacillus,0,0,0,1,0,0,0,0
g_Oceanobacillus,0,0,0,1,0,0,0,0
g_Virgibacillus,0,4,0,1,1,0,1,0
Bacillaceae bacterium TKL69,0,1,1,0,0,0,0,0
g_Listeria,1,1,1,0,0,0,0,0
g_Brevibacillus,1,1,2,1,0,0,0,0
g_Paenibacillus,7,9,6,11,5,6,1,7
Paenibacillaceae bacterium GAS479,1,0,1,3,1,1,2,1
g_Planococcus,0,1,0,1,0,0,0,0
g_Sporosarcina,1,1,0,2,1,1,0,0
Salisediminibacterium selenitireducens,1,4,1,0,0,0,0,1
g_Macrococcus,0,1,0,0,0,0,0,0
g_Staphylococcus,8,5,2,5,0,0,0,1
Exiguobacterium antarcticum,0,1,0,1,0,0,0,0
Exiguobacterium mexicanum,0,0,1,0,0,0,0,0
Exiguobacterium artemiae,2,0,0,0,0,0,0,0
Exiguobacterium sp. MH3,1,0,0,0,0,0,0,0
Exiguobacterium sp. N4-1P,0,1,0,0,0,0,0,0
Gemella haemolysans,2,1,1,1,0,0,0,0
Gemella morbillorum,1,1,0,0,0,0,0,0
Gemella sanguinis,1,0,0,2,0,0,0,0
g_Jeotgalibaca,0,0,1,1,0,0,0,0
g_Enterococcus,66,10,10,14,1,7,7,3
g_Lactobacillus,5,5,9,6,5,4,4,1
g_Leuconostoc,1,1,0,0,0,0,0,0
g_Lactococcus,1,1,3,0,0,0,1,1
g_Streptococcus,246,138,65,196,3,6,7,6
g_Candidatus Arthromitus,0,1,0,0,0,0,0,0
g_Clostridium,14,15,5,6,5,0,0,2
Clostridiaceae bacterium 14S0207,1,1,0,1,2,0,1,0
g_Aminipila,2,0,0,0,0,0,0,0
[Eubacterium] minutum,0,0,1,1,1,2,1,0
[Eubacterium] sulci,3,3,2,2,3,2,2,3
g_Eubacterium,4,4,4,4,0,0,0,0
g_Anaerocolumna,1,2,1,1,0,0,0,0
g_Anaerostipes,0,1,4,0,0,0,2,0
g_Blautia,42,56,22,37,4,3,3,0
g_Butyrivibrio,2,5,2,2,0,0,0,0
g_Cellulosilyticum,2,1,2,3,0,0,3,1
g_Enterocloster,3,1,0,1,0,1,0,0
g_Lachnoclostridium,5,3,0,13,0,0,0,0
g_Lacrimispora,1,4,2,4,0,0,0,0
g_Roseburia,36,41,12,24,4,1,1,2
Lachnospiraceae bacterium,52,99,35,66,3,2,1,2
Lachnospiraceae bacterium Choco86,212,283,120,192,14,5,5,14
Lachnospiraceae bacterium GAM79,108,150,54,99,14,18,5,13
Lachnospiraceae bacterium KM106-2,30,49,19,29,1,1,1,2
Lachnospiraceae bacterium oral taxon 500,5,2,2,3,0,0,0,0
g_Dehalobacter,1,1,0,1,0,1,0,1
g_Desulfotomaculum,1,0,1,0,0,0,0,0
Peptococcaceae bacterium DCMF,0,1,0,1,1,1,2,1
g_Romboutsia,4,1,0,0,0,0,0,0
