"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"64",NA,NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella biformis",588,0.00789399492528898,583.4,0.00783308952067968,"63","518637","1"
"65",NA,NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum",582,0.00781344395666358,581.5,0.00780744030420972,"64","702459","1"
"66",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus ruminis",580,0.00778659363378845,580.9,0.0077993599263944,"65","1069534","1"
"67",NA,NA,"Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera elsdenii",569,0.00763891685797522,563.9,0.00757197321498462,"66","1458465","1"
"68",NA,NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium succinatutens",542,0.00727643749916093,543.4,0.00729631142947097,"67","626939","1"
"69",NA,NA,"Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister invisus",536,0.00719588653053553,536,0.00719650502242122,"68","592028","1"
"70",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira multipara",530,0.00711533556191013,530,0.0071161953865571,"69","1282887","1"
"71",NA,NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum",524,0.00703478459328473,525.4,0.00705473851580701,"70","206672","1"
"72",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus thermophilus",501,0.00672600588022071,478.8,0.00642918114604361,"71","1051074","1"
"73",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Hoylesella","Hoylesella buccalis",442,0.0059339213554043,450.6,0.00605012508369339,"72","679190","1"
"74",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius",366,0.00491360908614926,391.4,0.00525561577528668,"73","1304","1"
"75",NA,NA,"Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger",350,0.0046988065031482,349.8,0.00469704029426361,"74","901","1"
"76",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprophilus",266,0.00357109294239263,259.6,0.00348565569069018,"75","547042","1"
"77",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides johnsonii",231,0.00310121229207781,227.3,0.00305233199989688,"209","999419","1"
"78",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium duncaniae",210,0.00281928390188892,198.7,0.00266835605000376,"210","411483","1"
"79",NA,NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia","Finegoldia magna",106,0.00142306711238203,101.8,0.00136632478176545,"211","334413","1"
"80",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella dysenteriae",88,0.00118141420650583,95.1,0.00127649214045402,"212","300267","1"
"81",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia hansenii",79,0.00106058775356774,75.1,0.00100790424473462,"213","537007","1"
"82",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Mediterranea","Mediterranea massiliensis",78,0.00104716259213017,55.3,0.000742600297382348,"214","1841865","1"
"83",NA,NA,"Bacillota","Clostridia","Peptostreptococcales","Anaerovoracaceae","Emergencia","Emergencia timonensis",67,0.000899485816316941,60.4,0.000811023484612025,"215","1776384","1"
"84",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes communis",64,0.000859210332004242,50.3,0.000675887077701198,"216","2585118","1"
"85",NA,NA,"Bacillota","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Anaerotignum lactatifermentans",50,0.000671258071878314,45.5,0.000611098355167335,"217","1121323","1"
"86",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides nordii",42,0.000563856780377784,42,0.000563746025611373,"218","997884","1"
"87",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter hormaechei",41,0.000550431618940218,28.7,0.000385447713660477,"219","299766","1"
"88",NA,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus basilensis",31,0.000416180004564555,31.3,0.000420839682813311,"220","68895","1"
"89",NA,NA,"Uroviricota","Caudoviricetes",NA,NA,"Traversvirus","Traversvirus II",26,0.000349054197376723,25.5,0.000342709603519614,"221","97081","1"
"90",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Subdoligranulum","Subdoligranulum variabile",25,0.000335629035939157,22.7,0.000304397751088115,"222","411471","1"
"91",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus sputorum",25,0.000335629035939157,24.3,0.000326940732574221,"223","1035839","1"
"92",NA,NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve",24,0.000322203874501591,27.9,0.000374628213047167,"224","518634","1"
"93",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoflavonifractor","Pseudoflavonifractor capillosus",23,0.000308778713064025,20.4,0.000274548029522344,"225","411467","1"
"94",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus colihominis",21,0.000281928390188892,25.9,0.000347865116429545,"227","445972","1"
"95",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","[Clostridium] symbiosum",21,0.000281928390188892,37.3,0.000501003700921096,"226","742740","1"
"96",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Angelakisella","Angelakisella massiliensis",20,0.000268503228751326,23.6,0.000316760351729621,"228","1871018","1"
"97",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Tannerella","Tannerella forsythia",18,0.000241652905876193,20.5,0.000274966430334654,"229","203275","1"
"98",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fluxus",17,0.000228227744438627,17,0.000228645575389552,"230","763034","1"
"99",NA,NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium dentium",16,0.000214802583001061,15.6,0.000209209915503694,"231","1150423","1"
