"Domain","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_100_100_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_50_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_1_noerr","Healthy_stool_10_50_noerr"
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter","Pontibacter sp. SGAir0037","Pontibacter sp. SGAir0037",995,19,11,20,0,11,16,24,0
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter","Pontibacter pudoricolor","Pontibacter pudoricolor",993,15,11,35,0,0,11,28,12
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter","Pontibacter akesuensis","Pontibacter akesuensis",991,14,10,23,0,12,21,24,14
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter","Adhaeribacter sp. KUDC8001","Adhaeribacter sp. KUDC8001",37,14,0,35,0,0,11,30,13
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Rufibacter","Rufibacter sp. DG15C","Rufibacter sp. DG15C",1091,15,0,66,14,17,35,59,32
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","Spirosoma sp. BT328","Spirosoma sp. BT328",1173,15,0,0,0,11,0,0,0
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","Spirosoma sp. CJU-R4","Spirosoma sp. CJU-R4",1174,11,0,0,0,12,0,10,0
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","Spirosoma sp. PL0136","Spirosoma sp. PL0136",1178,10,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","Spirosoma rigui","Spirosoma rigui",1172,11,16,15,12,0,0,18,17
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Runella","Runella slithyformis","Runella slithyformis",1102,12,12,0,0,0,19,24,21
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Fibrella","Fibrella sp. ES10-3-2-2","Fibrella sp. ES10-3-2-2",500,13,0,29,17,15,22,33,20
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter","Dyadobacter fermentans","Dyadobacter fermentans",431,19,21,14,11,10,0,18,0
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rhodocytophaga","Rhodocytophaga sp. 172606-1","Rhodocytophaga sp. 172606-1",1075,16,10,36,12,0,18,32,21
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Leadbetterella","Leadbetterella byssophila","Leadbetterella byssophila",693,14,10,27,13,0,12,15,11
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Arcticibacterium","Arcticibacterium luteifluviistationis","Arcticibacterium luteifluviistationis",104,14,12,11,0,0,0,0,0
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Allopseudarcicella","Allopseudarcicella aquatilis","Allopseudarcicella aquatilis",70,13,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophaga","Cytophaga hutchinsonii","Cytophaga hutchinsonii",390,11,0,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola","Echinicola strongylocentroti","Echinicola strongylocentroti",438,13,10,16,13,10,13,24,12
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola","Echinicola vietnamensis","Echinicola vietnamensis",439,14,13,40,0,0,0,34,22
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola","Echinicola rosea","Echinicola rosea",436,13,17,59,20,19,23,52,41
