species,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_50_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_50_noerr
Clostridium intestinale,24,26,44,20,12,18,30,27
Clostridium cellulovorans,22,24,42,26,19,18,49,33
Clostridium estertheticum,22,19,0,12,0,0,0,0
Clostridium chauvoei,21,0,0,0,0,0,0,0
Clostridium isatidis,19,16,0,0,0,0,0,0
Clostridium formicaceticum,18,12,20,21,0,16,14,0
Clostridium acetobutylicum,17,16,0,0,0,0,0,0
Clostridium kluyveri,16,20,0,17,0,0,0,0
Clostridium taeniosporum,15,16,0,15,0,0,0,0
Clostridium septicum,13,13,21,0,0,0,15,12
Clostridium aceticum,12,10,31,11,0,17,17,0
Clostridium cochlearium,12,0,0,0,0,0,0,0
Clostridium scatologenes,20,0,0,16,0,0,0,0
Clostridium drakei,18,19,13,0,0,0,21,0
Hungatella hathewayi,118,190,71,115,21,12,10,19
Alkaliphilus metalliredigens,23,17,20,17,0,12,13,0
Alkaliphilus oremlandii,11,13,10,0,0,0,0,0
Caloramator sp. E03,26,0,0,10,0,0,0,0
Clostridiaceae bacterium 14S0207,25,18,10,14,0,0,0,0
Geosporobacter ferrireducens,17,29,10,15,0,0,0,0
Crassaminicella sp. SY095,16,24,11,15,0,0,0,0
Hathewaya histolytica,16,16,0,12,20,10,0,12
Caloranaerobacter azorensis,11,0,16,0,0,10,16,0
Massilistercora timonensis,699,872,396,561,81,129,98,129
Aminipila sp. CBA3637,26,43,45,24,0,20,26,13
Aminipila sp. JN-18,20,23,0,21,0,0,0,0
Aminipila butyrica,13,11,0,14,10,0,0,13
Mogibacterium pumilum,24,30,10,17,18,16,0,14
Mogibacterium diversum,20,18,21,19,12,13,16,13
[Eubacterium] sulci,23,37,27,27,36,32,40,47
Flintibacter sp. KGMB00164,68,54,53,85,71,90,42,102
Intestinimonas butyriciproducens,254,95,0,105,0,0,0,44
[Eubacterium] cellulosolvens,173,251,96,166,36,32,23,35
Eubacterium limosum,145,199,89,111,23,18,28,25
Eubacterium maltosivorans,110,98,78,150,161,190,145,267
Eubacterium callanderi,29,24,0,14,0,0,0,0
Dysosmobacter welbionis,407,355,198,246,100,145,97,183
Oscillibacter valericigenes,39,38,11,24,17,17,0,17
Oscillibacter sp. PEA192,70,57,42,54,73,78,42,111
Clostridiales bacterium CCNA10,371,313,181,329,224,299,214,371
Clostridiales bacterium,656,227,90,221,153,156,85,134
Christensenella minuta,199,76,26,87,11,0,0,0
Christensenella sp. Marseille-P3954,38,29,19,38,10,10,0,12
Desulfosporosinus orientis,13,10,0,0,0,0,0,0
Desulfosporosinus youngiae,11,15,18,15,0,0,19,0
