"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","g_Actinobacillus","Actinobacillus",91,NA,NA,NA,NA,NA,1,3,NA
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus equuli","Actinobacillus equuli",92,35,19,5,18,30,18,15,24
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus pleuropneumoniae","Actinobacillus pleuropneumoniae",93,43,33,20,32,52,22,20,35
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus succinogenes","Actinobacillus succinogenes",94,6,8,13,8,9,15,16,13
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus suis","Actinobacillus suis",95,9,9,12,20,14,15,22,18
NA,"Actinomycetota","Actinomycetes","c_Actinomycetes","c_Actinomycetes","c_Actinomycetes","Actinobacteria bacterium IMCC26256","Actinobacteria bacterium IMCC26256",96,22,12,8,15,16,10,2,12
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","g_Actinomyces","Actinomyces",97,1,2,3,1,1,NA,NA,1
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia meyeri","Actinomyces meyeri",98,32,24,32,20,15,6,17,19
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces oris","Actinomyces oris",99,26,39,36,36,9,18,21,24
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces radicidentis","Actinomyces radicidentis",100,19,61,61,29,14,20,20,34
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 414","Actinomyces sp. oral taxon 414",101,45,57,62,53,7,20,32,31
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Boudabousia","Boudabousia tangfeifanii","Actinomyces sp. VUL4_3",102,13,22,12,11,8,9,7,11
NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Actinoplanes","g_Actinoplanes","Actinoplanes",103,NA,1,NA,3,NA,NA,NA,1
NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes friuliensis","Actinoplanes friuliensis",104,46,63,62,48,28,36,32,43
NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes missouriensis","Actinoplanes missouriensis",105,52,51,80,53,33,31,31,36
NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes sp. N902-109","Actinoplanes sp. N902-109",106,64,77,84,62,35,30,50,44
NA,"Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes sp. SE50/110","Actinoplanes sp. SE50/110",107,49,58,59,57,37,31,47,28
NA,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Actinosynnema","Actinosynnema mirum","Actinosynnema mirum",108,49,75,87,91,46,32,39,45
NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinotignum","Actinotignum schaalii","Actinotignum schaalii",109,12,22,19,19,12,8,10,14
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","g_Adlercreutzia","Adlercreutzia",110,NA,NA,NA,NA,NA,NA,1,NA
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens","Adlercreutzia equolifaciens",111,289,419,534,325,1069,2627,8539,3795
NA,"Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus","Betaentomopoxvirus ahonmai","Adoxophyes honmai entomopoxvirus 'L'",112,6,9,3,3,6,NA,1,2
NA,"Unknown","Naldaviricetes","Lefavirales","Baculoviridae","Betabaculovirus","Betabaculovirus adoranae","Adoxophyes orana granulovirus",113,NA,NA,NA,NA,NA,NA,1,NA
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","Advenella kashmirensis","Advenella kashmirensis",114,15,29,32,35,10,17,16,23
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","Advenella mimigardefordensis","Advenella mimigardefordensis",115,14,18,17,14,10,11,12,19
NA,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","Aequorivita sublithincola","Aequorivita sublithincola",116,20,11,9,15,26,27,29,26
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","g_Aerococcus","Aerococcus",117,NA,NA,NA,1,NA,NA,NA,NA
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus christensenii","Aerococcus christensenii",118,18,18,15,24,25,38,31,36
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus sanguinicola","Aerococcus sanguinicola",119,7,11,7,17,7,13,13,12
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus urinae","Aerococcus urinae",120,10,8,5,10,5,21,24,30
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus urinaeequi","Aerococcus urinaeequi",121,34,16,12,23,32,26,20,25
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus urinaehominis","Aerococcus urinaehominis",122,14,7,2,10,24,22,17,15
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus viridans","Aerococcus viridans",123,4,2,4,6,12,26,31,18
NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Aeromicrobium","g_Aeromicrobium","Aeromicrobium",124,7,1,NA,2,3,1,NA,NA
NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium erythreum","Aeromicrobium erythreum",125,33,42,56,23,26,15,25,21
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","g_Aeromonas","Aeromonas",126,2,2,NA,1,4,2,5,7
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas hydrophila","Aeromonas hydrophila",127,224,287,256,294,155,158,203,241
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas media","Aeromonas media",128,42,43,35,48,33,30,26,35
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Straboviridae","Tulanevirus","Tulanevirus as4","Aeromonas phage phiAS4",129,NA,NA,NA,NA,NA,1,NA,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Straboviridae","Chrysonvirus","Chrysonvirus as5","Aeromonas phage phiAS5",130,NA,NA,1,NA,1,NA,NA,1
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Straboviridae","Angelvirus","Angelvirus px29","Aeromonas phage PX29",131,1,2,NA,1,1,NA,NA,1
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas salmonicida","Aeromonas salmonicida",132,60,72,47,57,41,37,31,47
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas schubertii","Aeromonas schubertii",133,45,54,61,59,24,24,40,49
