species,abundence_cols.Healthy_stool_100_100,abundence_cols.Healthy_stool_100_10,abundence_cols.Healthy_stool_100_1,abundence_cols.Healthy_stool_100_50,abundence_cols.Healthy_stool_10_100,abundence_cols.Healthy_stool_10_10,abundence_cols.Healthy_stool_10_1,abundence_cols.Healthy_stool_10_50
Erysipelothrix larvae,13,0,0,0,0,0,0,0
Erysipelothrix rhusiopathiae,12,18,0,17,0,0,0,0
Faecalibaculum rodentium,34,23,0,16,0,0,0,0
Ndongobacter massiliensis,11,0,0,0,0,0,0,0
Bifidobacterium longum,6885,21307,8212,13139,37,15,20,19
Bifidobacterium bifidum,6161,4302,1643,2710,18,0,0,0
Bifidobacterium pseudocatenulatum,6634,3866,1478,2405,15,0,0,0
Bifidobacterium adolescentis,5978,11027,12102,19449,60499,42566,28292,25545
Bifidobacterium angulatum,5741,1387,556,1978,27,31,37,28
Bifidobacterium catenulatum,5832,1820,696,2605,26,11,14,11
Bifidobacterium animalis,5493,1007,402,1442,0,0,0,0
Bifidobacterium breve,31,56,32,31,17,12,11,0
Trueperella pyogenes,13,0,0,0,0,0,0,0
Eggerthella lenta,9854,1520,585,2166,22,13,0,0
Eggerthella sp. YY7918,48,17,0,21,42,27,18,23
Gordonibacter pamelaeae,9198,1277,551,1856,365,205,176,158
Gordonibacter urolithinfaciens,652,99,39,142,63,44,26,29
Adlercreutzia equolifaciens,8050,2450,943,3513,42,25,13,11
Adlercreutzia sp. 8CFCBH1,33,0,0,11,0,0,0,0
Slackia heliotrinireducens,101,49,26,64,60,46,26,26
Denitrobacterium detoxificans,59,27,16,36,22,11,15,0
Arabia massiliensis,56,0,0,24,0,0,0,0
Phoenicibacter congonensis,49,39,13,50,10,0,0,0
Eggerthellaceae bacterium zg-1050,31,0,0,0,0,0,0,0
Cryptobacterium curtum,19,0,0,0,0,0,0,0
Collinsella aerofaciens,6113,10315,11186,18059,60287,38910,25979,23276
Coriobacteriaceae bacterium 68-1-3,39,0,0,0,0,0,0,0
Olsenella umbonata,61,16,0,18,0,0,0,0
Olsenella sp. GAM18,39,33,20,45,95,59,43,31
Parolsenella catena,49,24,19,47,124,66,33,42
Libanicoccus massiliensis,35,32,71,50,124,92,87,59
Lancefieldella parvula,18,11,0,0,0,0,0,0
Prochlorococcus marinus,18,10,0,0,0,0,0,0
Klebsiella pneumoniae,22248,7441,3402,10864,0,0,0,0
Klebsiella variicola,9828,1270,442,1728,0,0,0,0
Klebsiella quasipneumoniae,111,43,48,48,0,175,244,171
Klebsiella aerogenes,62,18,0,19,0,0,0,0
Klebsiella oxytoca,46,17,0,14,0,52,0,0
Klebsiella michiganensis,31,0,0,50,0,0,0,0
Klebsiella huaxiensis,10,0,0,0,0,0,0,0
Escherichia coli,17437,38416,17137,24015,0,0,0,0
