species,abundence_cols.Healthy_stool_100_100,abundence_cols.Healthy_stool_100_10,abundence_cols.Healthy_stool_100_1,abundence_cols.Healthy_stool_100_50,abundence_cols.Healthy_stool_10_100,abundence_cols.Healthy_stool_10_10,abundence_cols.Healthy_stool_10_1,abundence_cols.Healthy_stool_10_50
Providencia rustigianii,35,41,196,42,62,153,271,166
Providencia alcalifaciens,28,27,0,16,0,0,0,0
Providencia sneebia,24,20,0,13,0,0,0,0
Providencia heimbachae,21,15,11,10,0,0,0,0
Providencia vermicola,10,12,12,10,0,0,0,0
Proteus mirabilis,40,40,28,29,42,29,69,69
Proteus vulgaris,46,30,0,23,0,0,0,0
Proteus hauseri,22,19,22,21,0,0,0,0
Proteus sp. CD3,13,0,0,0,0,0,0,0
Proteus sp. ZN5,16,18,133,34,31,142,251,146
Proteus cibarius,25,26,0,22,0,0,0,0
Xenorhabdus bovienii,30,28,26,51,153,116,63,95
Xenorhabdus poinarii,26,23,16,13,0,0,0,0
Xenorhabdus nematophila,21,17,13,0,0,0,0,0
Xenorhabdus doucetiae,13,0,0,14,0,0,0,0
Xenorhabdus hominickii,12,18,20,0,0,18,30,16
Morganella morganii,85,128,58,96,68,39,28,16
Photorhabdus thracensis,37,53,0,23,0,0,0,0
Photorhabdus laumondii,26,30,32,28,43,33,36,22
Photorhabdus asymbiotica,15,11,19,13,0,10,0,0
Arsenophonus nasoniae,22,39,35,29,0,12,18,0
Musicola paradisiaca,54,29,16,47,23,15,11,25
Dickeya chrysanthemi,52,30,0,29,0,0,0,0
Dickeya zeae,48,89,313,110,112,212,344,208
Dickeya dadantii,54,23,0,20,0,0,0,0
Dickeya dianthicola,23,0,11,27,81,41,27,27
Dickeya solani,19,42,22,37,127,77,35,56
Pectobacterium carotovorum,80,95,37,68,29,29,39,18
Pectobacterium atrosepticum,34,21,0,17,0,0,0,0
Pectobacterium polaris,40,48,330,80,59,145,312,142
Pectobacterium parmentieri,25,32,282,65,59,144,342,140
Pectobacterium brasiliense,27,15,0,21,16,0,0,0
Sodalis praecaptivus,22,0,0,0,15,0,0,0
Sodalis glossinidius,15,17,0,0,0,0,0,0
Candidatus Sodalis pierantonii,21,0,0,0,0,0,0,0
Sodalis endosymbiont of Henestaris halophilus,10,0,0,0,0,0,0,0
Brenneria rubrifaciens,32,0,0,0,0,0,0,0
Brenneria goodwinii,16,70,23,28,0,0,0,0
Lonsdalea britannica,31,17,0,12,0,0,0,0
Edwardsiella tarda,87,35,27,15,0,0,0,0
Edwardsiella ictaluri,15,0,0,0,0,0,0,0
Hafnia paralvei,33,42,0,47,0,0,0,0
Hafnia alvei,58,0,0,0,0,0,0,0
Leminorella richardii,33,20,13,19,0,0,0,0
Pragia sp. CF-458,19,24,0,23,0,0,0,0
Plesiomonas shigelloides,16,13,0,11,0,0,0,0
Phytobacter ursingii,10,0,0,12,52,58,66,64
Pseudomonas sp. ATCC 13867,33,18,0,18,0,0,0,0
Pseudomonas sp. DG56-2,23,0,0,0,0,0,0,0
Pseudomonas sp. CC6-YY-74,21,32,190,45,31,126,236,99
Pseudomonas sp. S1-A32-2,21,41,258,54,66,135,311,90
Pseudomonas sp. Leaf58,23,17,0,18,24,18,0,0
Pseudomonas sp. StFLB209,19,19,16,13,0,0,0,0
Pseudomonas sp. R84,55,0,0,0,0,0,0,0
Pseudomonas sp. ABC1,19,0,0,0,0,0,0,0
Pseudomonas sp. S-6-2,17,0,0,0,0,0,0,0
Pseudomonas sp. 7SR1,18,32,0,13,0,0,0,0
Pseudomonas sp. OIL-1,20,28,12,19,0,0,0,0
Pseudomonas sp. PE08,19,13,0,0,0,0,0,0
Pseudomonas sp. R32,19,15,0,17,0,0,0,0
Pseudomonas sp. M30-35,12,13,0,11,0,0,0,0
Pseudomonas sp. SK,14,0,15,15,73,44,28,21
Pseudomonas sp. MSPm1,13,0,0,0,15,0,0,0
Pseudomonas sp. S35,19,15,0,25,0,0,0,0
Pseudomonas sp. NP-1,12,0,18,0,0,0,38,0
Pseudomonas sp. PONIH3,84,0,0,0,0,0,0,0
Pseudomonas sp. TCU-HL1,12,0,0,0,0,0,0,0
Pseudomonas sp. gcc21,12,0,0,0,0,0,0,0
Pseudomonas sp. TUM18999,12,0,17,0,0,0,24,14
Pseudomonas fluorescens,225,164,472,183,378,494,774,460
Pseudomonas synxantha,30,0,0,21,0,0,0,0
Pseudomonas trivialis,25,14,0,0,0,0,0,0
Pseudomonas orientalis,25,0,0,0,0,0,0,0
Pseudomonas protegens,20,16,0,0,0,0,0,0
Pseudomonas brenneri,20,0,16,29,75,38,20,0
Pseudomonas azotoformans,21,49,17,33,0,0,0,0
Pseudomonas rhodesiae,15,0,0,0,0,0,0,0
Pseudomonas mucidolens,13,0,0,0,0,0,0,0
Pseudomonas putida,429,475,231,376,416,285,216,226
Pseudomonas monteilii,56,54,41,63,0,0,0,0
Pseudomonas fulva,48,0,0,11,0,0,0,0
Pseudomonas aeruginosa,297,226,0,267,0,0,0,0
Ectopseudomonas mendocina,57,62,60,53,15,27,15,0
Pseudomonas furukawaii,14,15,22,17,68,27,22,24
Metapseudomonas resinovorans,18,10,0,15,63,20,22,20
Pseudomonas multiresinivorans,15,0,0,0,0,0,0,0
Pseudomonas citronellolis,13,11,0,0,29,16,14,0
Stutzerimonas stutzeri,155,175,127,135,300,237,236,112
Stutzerimonas xanthomarina,29,18,10,22,46,23,28,14
Pseudomonas luteola,27,14,0,0,0,0,0,0
Pseudomonas syringae,134,108,349,146,93,182,408,212
Pseudomonas asturiensis,14,21,13,15,74,30,17,26
Pseudomonas cichorii,12,15,0,0,0,0,0,0
Pseudomonas chlororaphis,86,74,89,46,44,34,75,54
Pseudomonas litoralis,33,34,0,16,0,0,0,0
Pseudomonas alkylphenolica,30,16,0,11,0,0,0,0
Pseudomonas sabulinigri,27,34,0,22,0,0,0,0
Pseudomonas xinjiangensis,20,27,12,20,0,0,0,0
Pseudomonas moraviensis,24,13,0,17,0,0,0,0
Pseudomonas entomophila,19,35,286,51,50,120,308,163
Pseudomonas palleroniana,19,16,0,0,0,0,0,0
Pseudomonas saudiphocaensis,17,0,0,17,0,0,0,0
Pseudomonas knackmussii,18,0,0,0,0,0,0,0
Pseudomonas psychrophila,16,0,0,0,24,0,0,0
Pseudomonas frederiksbergensis,20,17,35,17,0,0,33,20
Pseudomonas otitidis,14,11,0,0,0,0,0,0
Pseudomonas vancouverensis,15,23,19,0,0,0,12,0
Pseudomonas salegens,13,23,0,13,0,0,0,0
Pseudomonas marincola,13,10,0,15,47,50,30,25
Pseudomonas agarici,11,0,0,0,16,0,0,0
Pseudomonas guangdongensis,11,0,0,0,0,0,0,0
Halopseudomonas pelagia,10,0,0,0,0,0,0,0
Pseudomonas graminis,10,0,0,0,35,33,20,29
Azotobacter vinelandii,27,49,308,53,58,153,307,141
Azotobacter chroococcum,23,12,26,0,0,0,34,14
Oblitimonas alkaliphila,15,37,23,19,0,0,0,0
Acinetobacter sp. WCHA45,30,0,0,0,0,0,0,0
Acinetobacter sp. TGL-Y2,25,29,14,17,0,0,0,0
Acinetobacter sp. TTH0-4,24,0,0,0,0,0,0,0
Acinetobacter sp. 323-1,23,44,27,29,0,0,0,0
Acinetobacter sp. dk386,24,0,0,0,0,0,0,0
Acinetobacter sp. WCHA55,27,29,0,17,0,0,0,0
Acinetobacter sp. 10FS3-1,27,0,0,0,0,0,0,0
Acinetobacter sp. NCu2D-2,19,39,15,59,78,49,49,51
Acinetobacter sp. FDAARGOS_724,34,0,0,0,0,0,0,0
Acinetobacter sp. WCHAc010034,17,23,0,16,0,0,0,0
Acinetobacter sp. NEB 394,24,0,0,0,0,0,0,0
Acinetobacter sp. LoGeW2-3,13,14,0,0,0,0,0,0
Acinetobacter sp. ACNIH2,14,26,21,20,0,0,0,0
Acinetobacter sp. ACNIH1,26,0,0,0,0,0,0,0
Acinetobacter sp. Marseille-Q1620,12,0,0,10,0,0,0,0
Acinetobacter sp. 185,11,0,0,0,0,0,0,0
Acinetobacter sp. C16S1,12,14,0,0,0,0,0,0
Acinetobacter baumannii,187,192,386,183,159,286,574,338
Acinetobacter pittii,80,47,43,104,123,122,62,122
Acinetobacter calcoaceticus,25,22,0,16,0,0,0,0
Acinetobacter lactucae,22,12,0,0,0,0,0,0
Acinetobacter schindleri,54,41,0,23,0,0,0,0
Acinetobacter haemolyticus,54,81,28,60,78,69,48,116
Acinetobacter radioresistens,45,66,165,71,45,104,218,112
Acinetobacter cumulans,31,22,19,22,100,100,45,90
Acinetobacter venetianus,30,38,354,82,93,196,360,158
Acinetobacter dispersus,27,0,0,0,0,0,0,0
Acinetobacter indicus,29,24,160,43,36,97,231,116
Acinetobacter equi,25,12,13,11,0,0,0,0
Acinetobacter ursingii,24,0,0,11,0,0,0,0
Acinetobacter baylyi,22,13,0,0,0,0,0,0
Acinetobacter towneri,37,0,0,20,0,0,0,0
Acinetobacter johnsonii,30,0,0,18,0,0,0,0
Acinetobacter tandoii,16,15,0,12,0,0,0,0
Acinetobacter defluvii,19,0,0,0,0,0,0,0
Acinetobacter larvae,14,11,0,0,0,0,12,0
Acinetobacter chinensis,14,0,0,0,0,0,0,0
Acinetobacter junii,12,0,0,0,0,0,0,0
Acinetobacter bereziniae,11,14,0,0,0,0,0,0
Acinetobacter gyllenbergii,10,0,0,0,0,0,0,0
Psychrobacter sp. DAB_AL43B,28,41,29,22,0,17,23,12
Psychrobacter sp. AntiMn-1,21,14,102,18,21,58,86,48
Psychrobacter sp. P11G5,91,54,40,56,76,62,63,107
Faucicola osloensis,36,12,26,13,0,0,0,0
Moraxella bovis,32,32,0,0,0,0,0,0
Moraxella cuniculi,17,17,176,53,38,103,153,84
Moraxella catarrhalis,11,15,0,24,0,0,0,0
Moraxellaceae bacterium HYN0046,12,14,0,0,0,0,0,0
Marinobacter sp. LV10R510-11A,35,0,0,10,0,0,0,0
Marinobacter sp. JH2,27,49,0,0,0,0,0,0
Marinobacter sp. Arc7-DN-1,25,0,0,0,0,0,0,0
Marinobacter sp. es.042,27,0,0,0,0,0,0,0
Marinobacter sp. NP-4(2019),13,42,178,69,56,113,184,100
Marinobacter salinus,39,47,341,82,71,180,317,132
Marinobacter nauticus,38,25,44,23,10,18,47,18
Marinobacter similis,22,13,13,17,57,26,18,17
Marinobacter salarius,25,40,13,21,0,0,14,0
Marinobacter fonticola,15,10,0,0,0,0,0,0
Alteromonas macleodii,71,41,21,45,0,0,0,0
Alteromonas sp. RKMC-009,33,20,91,33,27,39,74,36
Alteromonas naphthalenivorans,46,59,242,62,56,161,328,170
Alteromonas mediterranea,21,41,11,29,60,34,29,62
Alteromonas pelagimontana,18,13,0,0,0,0,0,0
Alteromonas australica,18,22,0,16,0,0,0,0
Glaciecola sp. THG-3.7,142,214,1094,280,284,592,1023,565
Brumicola nitratireducens,18,23,26,36,54,44,22,57
Paraglaciecola mesophila,41,45,96,26,17,42,96,33
Paraglaciecola psychrophila,30,37,30,34,0,0,11,0
Paraglaciecola sp. L3A3,22,16,0,14,0,0,0,0
Salinimonas lutimaris,20,28,12,11,0,0,0,0
Salinimonas sediminis,19,0,0,0,0,0,0,0
Salinimonas sp. KX18D6,18,25,0,0,0,0,0,0
Catenovulum sp. CCB-QB4,33,23,0,18,0,0,0,0
Catenovulum sediminis,12,10,0,11,0,0,0,0
Lacimicrobium alkaliphilum,43,50,16,25,0,0,0,0
Saliniradius amylolyticus,11,0,0,0,0,0,0,0
Shewanella sp. Scap07,28,15,11,13,0,0,0,0
Shewanella sp. Pdp11,35,36,0,0,0,0,0,0
Shewanella sp. SNU WT4,13,13,35,13,0,15,21,14
Shewanella sp. FDAARGOS_354,21,27,0,0,0,0,0,0
Shewanella sp. WE21,15,35,0,17,0,0,0,0
Shewanella baltica,110,91,405,119,75,198,402,169
Shewanella denitrificans,38,58,300,88,45,159,307,145
Shewanella violacea,31,14,10,24,29,32,0,22
Shewanella aestuarii,32,28,14,15,0,0,0,0
Shewanella loihica,30,18,0,19,0,0,0,0
Shewanella algae,32,30,0,23,0,0,0,0
Shewanella psychrophila,26,14,0,11,0,0,0,0
Shewanella piezotolerans,23,32,13,16,0,0,10,0
Shewanella woodyi,24,17,0,10,0,0,0,0
Shewanella livingstonensis,24,20,17,39,73,40,26,60
Shewanella sediminis,21,10,0,13,0,0,0,0
Shewanella khirikhana,18,11,11,16,0,0,0,0
Shewanella frigidimarina,26,29,0,17,0,0,0,0
Shewanella pealeana,18,13,0,0,0,0,0,0
Shewanella donghaensis,16,13,0,0,0,0,0,0
Shewanella oneidensis,17,21,133,32,21,48,102,50
Shewanella halifaxensis,12,28,213,41,46,108,189,96
Shewanella japonica,12,0,0,11,0,0,0,0
Shewanella decolorationis,15,0,0,0,0,0,0,0
Shewanella marisflavi,12,13,105,24,22,52,83,38
Parashewanella spongiae,26,10,0,18,0,0,0,0
Parashewanella tropica,15,16,14,15,0,0,0,0
Pseudoalteromonas sp. R3,32,41,19,36,0,0,0,0
Pseudoalteromonas luteoviolacea,45,39,24,34,0,10,16,0
Pseudoalteromonas atlantica,93,56,38,32,0,0,24,0
Pseudoalteromonas piratica,33,35,0,22,0,0,0,0
Pseudoalteromonas rubra,27,29,11,22,0,0,0,0
Pseudoalteromonas spongiae,27,24,0,25,0,0,0,0
Pseudoalteromonas phenolica,23,29,11,12,0,0,0,0
Pseudoalteromonas espejiana,20,15,0,0,0,0,0,0
Pseudoalteromonas shioyasakiensis,16,0,0,0,0,0,0,0
Pseudoalteromonas agarivorans,45,36,0,27,0,0,0,0
Pseudoalteromonas aliena,15,0,19,0,0,0,23,0
Pseudoalteromonas tunicata,14,0,0,10,0,0,0,0
Pseudoalteromonas carrageenovora,12,0,0,0,0,0,0,0
Colwellia sp. PAMC 20917,26,18,0,15,0,0,0,0
Colwellia sp. Arc7-635,22,15,0,0,0,0,0,0
Colwellia sp. PAMC 21821,15,0,0,0,0,0,0,0
Colwellia psychrerythraea,38,27,37,47,55,64,60,75
Colwellia beringensis,27,31,34,17,0,0,24,0
Thalassotalea crassostreae,26,18,13,16,0,0,0,0
Thalassotalea sp. HSM 43,13,0,0,0,0,0,0,0
Litorilituus sediminis,11,14,14,0,0,0,0,0
Psychromonas ingrahamii,66,55,17,39,0,0,0,0
Psychromonas sp. CNPT3,23,25,16,25,29,19,14,39
Moritella yayanosii,38,24,16,14,0,0,0,0
Moritella viscosa,23,14,0,13,0,0,0,0
Idiomarina sp. OT37-5b,23,28,0,16,0,0,0,0
Idiomarina andamanensis,12,0,28,0,0,16,28,12
Idiomarina piscisalsi,12,0,0,0,0,0,0,0
Ferrimonas sp. S7,27,43,23,33,0,0,0,0
Ferrimonas balearica,20,19,0,16,0,0,0,0
Vibrio parahaemolyticus,85,60,66,43,0,0,0,0
Vibrio campbellii,66,31,62,33,0,0,63,0
Vibrio alginolyticus,148,131,225,201,165,223,292,267
Vibrio azureus,36,51,28,43,74,41,26,44
Vibrio harveyi,38,26,0,18,0,0,0,0
Vibrio owensii,34,25,0,24,0,0,0,0
Vibrio natriegens,50,0,0,0,0,0,0,0
Vibrio diabolicus,22,0,0,0,0,0,0,0
Vibrio rotiferianus,14,29,40,24,0,0,0,0
Vibrio sp. THAF100,28,48,362,96,150,253,396,238
Vibrio sp. HBUAS61001,24,22,13,15,0,0,0,0
Vibrio sp. ZWAL4003,17,10,0,0,0,0,0,0
Vibrio sp. THAF190c,17,12,0,0,0,0,14,0
Vibrio sp. SM1977,14,15,10,0,0,0,0,0
Vibrio sp. HDW18,16,0,0,0,0,0,0,0
Vibrio fluvialis,71,51,28,54,0,0,0,0
Vibrio cholerae,81,114,56,42,0,17,34,19
Vibrio tubiashii,36,22,36,0,0,0,45,0
Vibrio mimicus,54,49,40,51,91,67,38,87
Vibrio taketomensis,45,27,10,17,0,0,0,0
Vibrio mediterranei,40,56,17,37,0,0,0,0
Vibrio nigripulchritudo,38,34,14,40,23,11,13,16
Vibrio vulnificus,41,48,23,58,0,0,0,0
Vibrio scophthalmi,49,49,0,33,0,0,0,0
Vibrio furnissii,39,21,0,20,0,0,0,0
Vibrio tritonius,33,75,276,76,65,183,319,170
Vibrio rumoiensis,26,14,0,15,0,0,0,0
Vibrio gazogenes,24,24,15,17,0,0,0,0
Vibrio coralliilyticus,38,28,28,61,87,80,31,83
Vibrio aphrogenes,23,19,0,0,0,0,0,0
Vibrio anguillarum,30,27,25,31,0,0,16,0
Vibrio casei,23,45,278,61,70,185,429,218
Vibrio tapetis,19,21,0,14,0,0,0,0
Vibrio spartinae,19,31,0,0,0,0,0,0
Vibrio ponticus,17,23,0,15,0,0,0,0
Vibrio cincinnatiensis,16,11,0,11,0,0,0,0
Vibrio chagasii,16,34,18,16,0,0,12,0
Vibrio astriarenae,15,11,23,18,0,14,24,0
Vibrio alfacsensis,13,13,112,19,30,50,105,42
Vibrio panuliri,12,11,0,0,0,0,0,0
Vibrio breoganii,12,0,0,0,0,0,0,0
Vibrio crassostreae,13,0,0,0,0,0,0,0
Photobacterium damselae,60,67,475,118,112,264,499,263
Photobacterium profundum,27,22,10,19,0,0,0,0
Photobacterium gaetbulicola,23,18,26,24,56,46,53,19
Aliivibrio fischeri,65,65,22,49,0,0,0,0
Aliivibrio wodanis,28,14,0,0,0,0,0,0
Aliivibrio salmonicida,12,13,0,0,0,0,0,0
Grimontia hollisae,32,41,19,34,0,0,0,0
Salinivibrio kushneri,21,0,26,0,0,11,19,0
Paraphotobacterium marinum,17,0,0,13,0,0,0,0
Halomonas sp. GT,40,13,23,18,0,0,19,0
Halomonas sp. NBT06E8,35,73,610,103,109,324,644,253
Halomonas sp. KO116,36,35,216,60,60,138,259,122
Halomonas sp. Y2R2,18,0,13,12,40,24,14,0
Halomonas sp. 1513,16,10,0,0,0,0,0,0
Halomonas sp. AM6,72,91,52,62,0,0,0,0
Halomonas sp. BC-M4-5,11,0,0,10,65,40,29,22
Halomonas sp. GFAJ-1,10,13,0,10,0,0,0,0
Halomonas sp. THAF5a,13,0,0,0,0,0,0,0
Halomonas meridiana,42,24,58,38,0,41,78,41
Halomonas huangheensis,27,43,11,12,0,0,0,0
Halomonas subglaciescola,15,23,16,23,41,33,20,13
Halomonas hydrothermalis,23,0,0,0,0,0,0,0
Halomonas elongata,10,27,256,52,54,130,288,127
Halomonas chromatireducens,10,10,0,0,0,0,0,0
Halomonas aestuarii,10,10,0,15,0,0,0,0
Zymobacter palmae,31,45,20,16,0,0,0,0
Kushneria sp. YCWA18,29,16,13,20,0,0,0,0
Marinomonas sp. MWYL1,22,25,20,32,44,38,34,73
Marinomonas posidonica,24,11,10,11,0,0,18,0
Marinomonas primoryensis,18,0,0,0,0,0,0,0
Marinomonas mediterranea,14,13,0,0,0,0,0,0
Marinobacterium aestuarii,44,36,14,45,51,31,15,15
Neptunomonas phycophila,23,27,0,23,0,0,0,0
Neptunomonas concharum,16,13,0,16,0,0,0,0
Nitrincola sp. KXZD1103,31,14,0,10,0,0,0,0
Thalassolituus oleivorans,26,31,131,53,34,100,221,100
Oleispira antarctica,19,37,30,26,0,19,31,15
Bermanella marisrubri,17,0,37,14,0,15,33,17
Kangiella profundi,43,37,27,37,57,42,26,59
Kangiella sediminilitoris,19,28,0,13,0,0,0,0
Kangiella geojedonensis,10,13,0,0,0,0,0,0
Alloalcanivorax dieselolei,18,24,21,26,0,0,0,0
Isoalcanivorax pacificus,14,27,0,31,68,39,45,20
Alcanivorax xenomutans,18,0,0,0,0,0,0,0
Ketobacter alkanivorans,17,30,0,0,0,0,0,0
Endozoicomonas montiporae,63,32,24,30,0,0,0,0
Hahella chejuensis,32,13,0,13,0,0,0,0
Hahella sp. KA22,21,13,0,11,0,0,0,0
Gynuella sunshinyii,32,26,25,31,74,46,29,92
Saccharospirillum mangrovi,11,0,0,11,16,0,12,17
Oleiphilus messinensis,20,18,30,37,35,18,24,14
Stenotrophomonas maltophilia,366,247,476,268,290,421,642,388
Stenotrophomonas sp. ESTM1D_MKCIP4_1,12,0,0,0,0,0,0,0
Stenotrophomonas acidaminiphila,25,0,0,10,0,0,0,0
Stenotrophomonas rhizophila,15,13,0,12,17,11,0,0
Xanthomonas citri,99,107,224,55,36,74,186,148
Xanthomonas translucens,26,14,0,12,0,0,0,0
Xanthomonas oryzae,25,20,0,26,0,0,0,0
Xanthomonas vesicatoria,22,0,0,0,0,0,0,0
Xanthomonas hortorum,15,28,323,48,56,140,286,209
Xanthomonas sacchari,12,0,0,0,0,0,0,0
Xanthomonas cassavae,12,0,14,13,0,0,13,19
Xanthomonas campestris,13,14,0,17,19,11,0,20
Xanthomonas vasicola,11,0,0,0,0,0,0,0
Lysobacter sp. TY2-98,23,13,0,12,0,0,0,0
Lysobacter capsici,28,0,0,11,0,0,0,0
Lysobacter enzymogenes,23,16,15,23,40,28,21,14
Lysobacter alkalisoli,20,48,336,71,100,171,301,150
Lysobacter antibioticus,18,11,0,0,0,0,0,0
Lysobacter soli,15,0,0,0,0,0,0,0
Lysobacter gummosus,12,0,0,0,11,0,0,0
Luteimonas sp. YGD11-2,24,0,0,0,0,0,0,0
Luteimonas sp. JM171,13,11,0,10,0,0,0,0
Luteimonas granuli,11,0,0,0,0,0,0,0
Luteimonas chenhongjianii,11,25,0,30,49,0,0,0
Luteimonas yindakuii,12,0,0,0,0,0,0,0
Pseudoxanthomonas suwonensis,35,57,41,36,41,16,22,18
Pseudoxanthomonas spadix,11,11,0,0,0,0,0,0
Xylella taiwanensis,10,0,0,0,0,0,0,0
Dyella sp. M7H15-1,26,17,21,0,0,0,16,0
Dyella japonica,27,0,0,19,0,0,0,0
Dyella thiooxydans,30,0,0,31,0,0,0,0
Rhodanobacter denitrificans,15,28,406,53,92,250,399,175
Luteibacter rhizovicinus,11,0,18,0,0,0,15,0
Actinobacillus pleuropneumoniae,62,64,25,56,0,0,0,0
Actinobacillus porcitonsillarum,35,33,15,39,79,76,49,60
Actinobacillus succinogenes,30,26,14,13,0,0,0,0
Actinobacillus suis,29,47,17,26,0,0,0,0
Actinobacillus delphinicola,20,12,0,15,0,11,0,13
Actinobacillus equuli,17,18,0,0,0,0,0,0
Actinobacillus indolicus,17,0,0,0,0,0,0,0
Mannheimia haemolytica,69,34,16,33,31,19,18,30
Mannheimia granulomatis,53,51,21,66,51,47,38,46
Mannheimia sp. USDA-ARS-USMARC-1261,39,58,18,44,0,0,0,0
Mannheimia varigena,28,30,0,21,0,0,0,0
Haemophilus influenzae,72,57,0,57,0,0,0,0
Haemophilus parainfluenzae,31,42,83,24,0,0,0,0
Haemophilus pittmaniae,19,13,0,12,0,0,0,0
Haemophilus sp. oral taxon 036,25,0,0,22,0,0,0,0
Haemophilus parahaemolyticus,13,13,109,16,0,0,183,0
Pasteurella multocida,122,88,57,98,124,118,81,132
Phocoenobacter skyensis,20,0,24,18,0,18,26,13
Histophilus somni,77,89,275,60,88,134,316,138
Glaesserella parasuis,53,31,0,23,0,0,0,0
Aggregatibacter aphrophilus,20,11,0,13,0,0,0,0
Aggregatibacter actinomycetemcomitans,18,12,13,15,0,0,0,0
Pasteurellaceae bacterium RH1A,20,26,12,17,0,0,0,0
Pasteurellaceae bacterium Orientalotternb1,11,0,0,0,0,0,0,0
Avibacterium volantium,19,25,15,25,37,24,20,17
Avibacterium paragallinarum,12,32,305,71,75,215,316,145
Gallibacterium anatis,27,42,14,21,0,0,0,0
Frederiksenia canicola,25,0,0,0,0,0,0,0
Otariodibacter oris,19,21,0,0,0,0,0,0
Pasteurella aerogenes,20,31,11,17,0,0,0,0
Bibersteinia trehalosi,20,53,176,60,38,136,262,140
Rodentibacter pneumotropicus,11,31,0,17,0,0,0,0
Bisgaardia hudsonensis,11,11,0,18,0,0,0,0
Vespertiliibacter pulmonis,11,26,0,13,10,0,0,14
Thiomicrorhabdus sp. aks77,30,13,10,24,0,0,0,0
Thiomicrorhabdus sp. G1,29,10,0,0,0,0,0,0
Thiomicrorhabdus sp. G2,26,0,0,0,0,0,0,0
Thiomicrorhabdus sp. AkT22,25,31,0,13,0,0,0,0
Thiomicrorhabdus indica,22,15,0,14,0,0,0,0
Hydrogenovibrio crunogenus,35,18,0,24,0,0,0,0
Hydrogenovibrio marinus,19,29,106,25,27,61,105,58
Hydrogenovibrio thermophilus,31,62,305,75,55,186,305,136
Piscirickettsia salmonis,41,42,14,39,45,27,11,13
Methylophaga nitratireducenticrescens,20,17,0,22,31,18,13,30
Thiomicrospira sp. S5,23,0,0,0,0,0,0,0
Francisella philomiragia,58,13,0,21,0,0,0,0
Francisella uliginis,34,33,14,28,0,0,0,0
Francisella sp. FSC1006,30,31,313,43,73,152,279,140
Francisella tularensis,34,21,0,0,0,0,0,0
Francisella frigiditurris,21,0,0,0,0,0,0,0
Francisella hispaniensis,17,23,0,12,0,0,0,0
Allofrancisella frigidaquae,24,14,0,0,0,0,0,0
Beggiatoa leptomitoformis,17,23,86,25,25,54,110,39
Aeromonas veronii,120,114,223,139,238,181,110,98
Aeromonas hydrophila,70,50,0,59,0,0,0,0
Aeromonas sp. CA23,19,0,0,14,0,0,0,0
Aeromonas sp. CU5,13,0,0,0,0,0,0,0
Aeromonas schubertii,27,13,0,0,0,0,0,0
Aeromonas salmonicida,28,42,170,32,27,50,65,60
Aeromonas caviae,92,91,0,57,149,261,288,194
Aeromonas media,30,34,127,58,292,184,136,130
Aeromonas dhakensis,23,0,0,0,0,0,0,0
Aeromonas encheleia,10,0,0,0,0,0,0,0
Tolumonas auensis,39,30,14,22,0,0,0,0
Oceanisphaera avium,32,73,530,84,77,262,488,253
Oceanimonas sp. GK1,31,20,119,37,14,64,126,57
Zobellella denitrificans,27,45,318,70,75,192,323,143
Succinivibrio dextrinosolvens,69,102,338,149,98,201,335,218
Thioalkalivibrio sp. K90mix,26,0,0,0,0,0,0,0
Acidihalobacter prosperus,50,38,422,90,93,223,465,206
Ectothiorhodospiraceae bacterium BW-2,27,0,0,11,0,0,0,0
Ectothiorhodospiraceae bacterium 2226,21,11,0,13,31,15,15,0
Spiribacter roseus,13,0,0,15,0,0,0,0
Spiribacter sp. 2438,12,0,0,12,0,0,0,0
Ectothiorhodospira haloalkaliphila,22,16,26,23,0,0,15,11
Alkalilimnicola ehrlichii,22,12,38,14,0,19,26,29
Halorhodospira halochloris,13,23,0,0,0,0,0,0
Nitrosococcus oceani,24,0,0,0,0,0,0,0
Nitrosococcus watsonii,13,18,0,0,0,0,0,0
Nitrosococcus wardiae,11,35,347,73,45,183,350,163
Nitrosococcus halophilus,10,19,106,13,24,53,107,50
Rheinheimera sp. LHK132,23,53,19,25,0,0,0,0
Rheinheimera sp. D18,23,0,0,12,0,0,0,0
Chromatiaceae bacterium 2141T.STBD.0c.01a,17,13,26,17,0,13,29,16
Thioflavicoccus mobilis,23,19,0,16,0,0,0,0
Allochromatium vinosum,24,37,37,40,70,40,44,67
Thiocystis violascens,16,14,0,0,0,0,0,0
Thermochromatium tepidum,10,24,13,15,0,0,0,0
Granulosicoccus antarcticus,28,39,12,19,0,0,0,0
Sulfuriflexus mobilis,28,27,0,17,0,0,0,0
Halothiobacillus sp. LS2,16,21,0,24,31,20,12,16
Woeseia oceani,19,24,0,13,11,0,0,0
Thiohalobacter thiocyanaticus,11,0,0,0,0,0,0,0
Sulfurivermis fontis,11,0,0,12,0,0,0,0
Legionella pneumophila,58,54,13,39,16,14,0,0
Legionella longbeachae,46,40,25,41,67,45,39,71
Legionella spiritensis,44,59,30,53,77,53,28,54
Legionella israelensis,27,25,16,19,0,10,0,0
Legionella cherrii,26,32,14,20,0,0,0,0
Legionella sp. TUM19329,12,0,0,0,0,0,0,0
Legionella waltersii,29,23,0,22,0,0,0,0
Legionella sainthelensi,25,23,0,18,0,0,0,0
Legionella hackeliae,25,16,0,18,0,0,0,0
